model,env,operator,measure,mean,ci_lo,ci_hi,n,n_clusters,dz,p,family,label,params_b,log_params
qwen3-0.6b,toolshed,type_swap,copy,1.4714767924742773,-4.432358040298277,7.61000361799961,8,8,0.16542659628493359,0.693,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
qwen3-0.6b,toolshed,type_swap,sem,4.847642983542755,4.019938854849897,5.628829653142019,8,8,3.799173531529032,0.0005,Qwen3,Qwen3-0.6B,0.596,8.775246259740236
smollm2-1.7b,toolshed,arg_typo,G,-10.033971707026163,-12.642581284046173,-8.717522382736206,3,3,-4.441471511401986,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,arg_typo,copy,8.57589136560758,7.89805269241333,9.597866207361221,3,3,9.52193028856405,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,arg_typo,sem,1.4580803414185841,0.5100562572479248,3.044715076684952,3,3,1.0544803116551755,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,tool_typo,G,-12.394858322106302,-14.690042342990637,-9.8336240677163,4,4,-4.170450397619123,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,tool_typo,copy,11.469792201649398,9.791956455912441,12.828804044052958,4,4,6.101356772719571,0.0005,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-1.7b,toolshed,tool_typo,sem,0.9250661204569042,-0.11937104305252433,2.5373483896255493,4,4,0.5640182750611048,0.11,SmolLM2,SmolLM2-1.7B,1.711,9.2332500095411
smollm2-135m,coderepair,drop_negation,G,-74.56229988166264,-110.10522133963448,-41.0945685199329,7,7,-1.4870351504482906,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,drop_negation,copy,74.25710756438119,41.09172633716038,109.27132469075066,7,7,1.4947430650448765,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,drop_negation,sem,0.3051923172814505,-0.33624170124530794,1.097147244640757,7,7,0.2811858545947821,0.39,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,drop_return,G,-73.75009524822235,-119.7627671957016,-37.82996688570295,7,7,-1.1884139559559987,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,drop_return,copy,75.27752687249865,40.1515611410141,120.74892551515781,7,7,1.2227762585858273,0.0005,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
smollm2-135m,coderepair,drop_return,sem,-1.5274316242762975,-2.526513445803097,-0.5853313543966849,7,7,-1.085068712832101,0.001,SmolLM2,SmolLM2-135M,0.135,8.130333768495007
